dataset_id,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7
11,0.461,0.461,0.078,-,-,-,-
23,0.427,0.347,0.226,-,-,-,-
37,0.651,0.349,-,-,-,-,-
458,0.377,0.352,0.206,0.065,-,-,-
469,0.234,0.2,0.192,0.188,0.186,-,-
1049,0.878,0.122,-,-,-,-,-
1050,0.898,0.102,-,-,-,-,-
1063,0.795,0.205,-,-,-,-,-
1067,0.845,0.155,-,-,-,-,-
1068,0.931,0.069,-,-,-,-,-
1464,0.762,0.238,-,-,-,-,-
1480,0.714,0.286,-,-,-,-,-
1510,0.627,0.373,-,-,-,-,-
40975,0.7,0.222,0.04,0.038,-,-,-
40982,0.347,0.207,0.201,0.098,0.081,0.037,0.028
40994,0.915,0.085,-,-,-,-,-
