LOC_BLANK,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DECISION_DENSITY,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,c
21.0,10.0,3.0,1.0,7.0,0.0,9.0,0.2,0.0,0.0,8.0,0.89,21.0,1.0,0.0,45.0,1.0,42.48,19.98,16963.65,0.28,152.0,0.05,942.42,848.91,0.11,0.0,0.0,14.0,0.12,61.0,91.0,29.0,19.0,75.0,15.09,46.0,FALSE
21.0,17.0,2.0,3.0,12.0,20.0,10.0,0.26,8.0,2.5,3.0,0.3,31.0,3.0,0.22,36.0,5.0,31.44,19.3,11716.29,0.2,107.0,0.05,650.91,606.95,0.3,6.0,10.0,23.0,0.14,47.0,60.0,28.0,23.0,73.0,29.41,39.0,FALSE
7.0,27.0,2.0,2.0,1.0,52.0,14.0,0.58,26.0,2.0,3.0,0.21,76.0,1.0,0.0,22.0,1.0,99.64,24.6,60297.15,0.82,407.0,0.04,3349.84,2451.1,0.07,13.0,26.0,64.0,0.42,164.0,243.0,50.0,15.0,33.0,12.0,24.0,TRUE
26.0,7.0,4.0,3.0,13.0,12.0,4.0,0.1,6.0,2.0,1.0,0.25,29.0,1.0,0.0,39.0,0.0,98.24,22.84,51227.3,0.75,350.0,0.04,2845.96,2243.29,0.25,3.0,6.0,27.0,0.05,170.0,180.0,67.0,18.0,82.0,29.09,42.0,TRUE
12.0,3.0,1.0,0.0,10.0,4.0,2.0,0.14,2.0,2.0,2.0,1.0,9.0,1.0,0.0,14.0,3.0,48.3,17.5,14790.85,0.28,149.0,0.06,821.71,845.19,0.5,1.0,2.0,9.0,0.05,70.0,79.0,34.0,17.0,37.0,41.67,14.0,TRUE
2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,16.92,3.5,207.22,0.02,16.0,0.29,11.51,59.21,1.0,0.0,0.0,3.0,0.2,6.0,10.0,6.0,7.0,5.0,0.0,2.0,TRUE
5.0,1.0,3.0,0.0,9.0,16.0,1.0,0.05,8.0,2.0,1.0,1.0,8.0,1.0,0.0,19.0,1.0,69.53,16.72,19441.83,0.39,206.0,0.06,1080.1,1162.63,1.0,4.0,8.0,9.0,0.03,86.0,120.0,36.0,14.0,34.0,32.14,19.0,FALSE
4.0,7.0,1.0,0.0,0.0,8.0,4.0,0.36,2.0,4.0,1.0,0.25,12.0,1.0,0.0,11.0,2.0,25.88,10.71,2971.35,0.09,59.0,0.09,165.07,277.33,0.25,3.0,4.0,10.0,0.25,25.0,34.0,14.0,12.0,16.0,0.0,11.0,TRUE
0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,FALSE
8.0,17.0,3.0,0.0,0.0,12.0,13.0,0.23,6.0,2.0,12.0,0.92,36.0,1.0,0.0,56.0,0.0,36.39,41.23,61862.5,0.5,253.0,0.02,3436.81,1500.48,0.08,3.0,6.0,25.0,0.2,111.0,142.0,35.0,26.0,65.0,0.0,56.0,FALSE
20.0,9.0,6.0,4.0,11.0,14.0,5.0,0.21,6.0,2.33,4.0,0.8,19.0,3.0,0.5,20.0,1.0,52.95,8.87,4163.0,0.16,86.0,0.11,231.28,469.51,0.6,4.0,7.0,16.0,0.09,38.0,48.0,30.0,14.0,56.0,42.86,24.0,TRUE
20.0,17.0,1.0,5.0,12.0,30.0,9.0,0.35,14.0,2.14,2.0,0.22,30.0,1.0,0.0,21.0,1.0,33.47,24.62,20287.52,0.27,146.0,0.04,1127.08,824.0,0.11,8.0,15.0,23.0,0.15,68.0,78.0,29.0,21.0,59.0,44.74,26.0,TRUE
35.0,75.0,12.0,3.0,64.0,116.0,38.0,0.26,42.0,2.76,15.0,0.39,126.0,32.0,0.84,144.0,1.0,115.86,37.39,161985.9,1.44,624.0,0.03,8999.22,4332.13,0.84,37.0,59.0,90.0,0.15,279.0,345.0,97.0,26.0,247.0,31.75,147.0,TRUE
3.0,11.0,3.0,0.0,0.0,12.0,7.0,0.3,6.0,2.0,4.0,0.57,25.0,4.0,0.5,23.0,2.0,29.43,18.57,10146.96,0.18,102.0,0.05,563.72,546.47,0.57,3.0,6.0,20.0,0.26,43.0,59.0,22.0,19.0,27.0,0.0,23.0,FALSE
2.0,3.0,0.0,0.0,0.0,4.0,2.0,0.4,2.0,2.0,1.0,0.5,6.0,1.0,0.0,5.0,2.0,6.5,6.0,234.0,0.01,13.0,0.17,13.0,39.0,0.5,1.0,2.0,6.0,0.25,4.0,9.0,2.0,6.0,8.0,0.0,5.0,FALSE
11.0,25.0,4.0,0.0,6.0,48.0,13.0,0.33,24.0,2.0,7.0,0.54,56.0,1.0,0.0,40.0,2.0,56.42,19.13,20637.49,0.36,185.0,0.05,1146.53,1079.08,0.08,12.0,24.0,45.0,0.22,90.0,95.0,40.0,17.0,58.0,13.04,40.0,TRUE
3.0,1.0,0.0,0.0,11.0,0.0,1.0,0.04,0.0,0.0,1.0,1.0,1.0,1.0,0.0,25.0,3.0,68.65,10.4,7420.21,0.24,136.0,0.1,412.23,713.72,1.0,0.0,0.0,2.0,0.03,67.0,69.0,29.0,9.0,40.0,30.56,25.0,FALSE
13.0,5.0,8.0,1.0,13.0,8.0,3.0,0.14,4.0,2.0,2.0,0.67,22.0,1.0,0.0,20.0,0.0,50.44,8.5,3644.57,0.14,85.0,0.12,202.48,428.77,0.33,2.0,4.0,21.0,0.06,34.0,51.0,22.0,11.0,48.0,41.18,21.0,TRUE
9.0,41.0,5.0,14.0,24.0,74.0,21.0,0.18,34.0,2.18,12.0,0.57,79.0,6.0,0.25,102.0,1.0,147.44,19.65,56922.69,0.97,418.0,0.05,3162.37,2897.05,0.29,20.0,37.0,60.0,0.13,189.0,229.0,101.0,21.0,167.0,27.14,116.0,TRUE
7.0,25.0,10.0,4.0,16.0,42.0,13.0,0.17,18.0,2.33,10.0,0.77,47.0,5.0,0.33,71.0,1.0,70.93,18.61,24562.78,0.44,210.0,0.05,1364.6,1319.93,0.38,12.0,23.0,36.0,0.13,89.0,121.0,55.0,23.0,99.0,21.98,75.0,TRUE
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.2,0.0,0.0,1.0,1.0,2.0,1.0,0.0,5.0,2.0,12.29,3.5,150.57,0.01,12.0,0.29,8.36,43.02,1.0,0.0,0.0,3.0,0.17,5.0,7.0,5.0,7.0,6.0,0.0,5.0,FALSE
62.0,71.0,14.0,42.0,24.0,140.0,36.0,0.25,70.0,2.0,17.0,0.47,183.0,1.0,0.0,102.0,0.0,83.06,87.53,636348.83,2.42,1070.0,0.01,35352.71,7270.02,0.03,35.0,70.0,149.0,0.15,495.0,575.0,82.0,29.0,239.0,39.29,144.0,FALSE
0.0,3.0,1.0,0.0,0.0,4.0,2.0,0.22,2.0,2.0,2.0,1.0,5.0,1.0,0.0,9.0,1.0,10.2,13.33,1813.33,0.05,34.0,0.08,100.74,136.0,0.5,1.0,2.0,5.0,0.2,16.0,18.0,6.0,10.0,10.0,0.0,9.0,FALSE
26.0,17.0,10.0,3.0,35.0,34.0,9.0,0.3,14.0,2.43,6.0,0.67,38.0,3.0,0.25,27.0,1.0,67.59,11.15,8408.78,0.25,131.0,0.09,467.15,753.89,0.33,10.0,17.0,31.0,0.1,58.0,73.0,39.0,15.0,92.0,58.46,30.0,TRUE
10.0,3.0,1.0,2.0,13.0,4.0,2.0,0.1,2.0,2.0,1.0,0.5,8.0,1.0,0.0,19.0,0.0,54.15,14.62,11582.56,0.26,157.0,0.07,643.48,791.97,0.5,1.0,2.0,8.0,0.04,78.0,79.0,24.0,9.0,45.0,44.12,21.0,TRUE
9.0,1.0,2.0,0.0,6.0,0.0,1.0,0.08,0.0,0.0,1.0,1.0,5.0,1.0,0.0,13.0,1.0,48.36,9.75,4596.78,0.16,88.0,0.1,255.38,471.46,1.0,0.0,0.0,6.0,0.03,42.0,46.0,28.0,13.0,29.0,31.58,13.0,FALSE
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.1,0.0,0.0,1.0,1.0,2.0,1.0,0.0,10.0,3.0,14.33,6.0,515.71,0.03,22.0,0.17,28.65,85.95,1.0,0.0,0.0,3.0,0.08,8.0,14.0,6.0,9.0,12.0,0.0,10.0,FALSE
14.0,29.0,8.0,5.0,14.0,40.0,15.0,0.23,14.0,2.86,6.0,0.4,58.0,10.0,0.64,59.0,0.0,46.09,53.79,133379.57,0.83,390.0,0.02,7409.98,2479.45,0.67,13.0,22.0,45.0,0.15,177.0,213.0,51.0,31.0,102.0,24.36,64.0,TRUE
15.0,8.0,13.0,0.0,0.0,8.0,5.0,0.1,4.0,2.0,5.0,1.0,26.0,1.0,0.0,51.0,0.0,56.46,14.34,11613.3,0.27,136.0,0.07,645.18,809.77,0.2,2.0,4.0,23.0,0.07,56.0,80.0,41.0,21.0,67.0,0.0,51.0,TRUE
1.0,5.0,3.0,0.0,0.0,8.0,3.0,0.38,4.0,2.0,3.0,1.0,11.0,1.0,0.0,8.0,2.0,18.89,5.63,597.79,0.04,26.0,0.18,33.21,106.27,0.33,2.0,4.0,10.0,0.3,10.0,16.0,8.0,9.0,10.0,0.0,8.0,FALSE
