,target
0,Pastry
1,Pastry
2,Pastry
3,Pastry
4,Pastry
5,Pastry
6,Pastry
7,Pastry
8,Pastry
9,Pastry
10,Pastry
11,Pastry
12,Pastry
13,Pastry
14,Pastry
15,Pastry
16,Pastry
17,Pastry
18,Pastry
19,Pastry
20,Pastry
21,Pastry
22,Pastry
23,Pastry
24,Pastry
25,Pastry
26,Pastry
27,Pastry
28,Pastry
29,Pastry
30,Pastry
31,Pastry
32,Pastry
33,Pastry
34,Pastry
35,Pastry
36,Pastry
37,Pastry
38,Pastry
39,Pastry
40,Pastry
41,Pastry
42,Pastry
43,Pastry
44,Pastry
45,Pastry
46,Pastry
47,Pastry
48,Pastry
49,Pastry
50,Pastry
51,Pastry
52,Pastry
53,Pastry
54,Pastry
55,Pastry
56,Pastry
57,Pastry
58,Pastry
59,Pastry
60,Pastry
61,Pastry
62,Pastry
63,Pastry
64,Pastry
65,Pastry
66,Pastry
67,Pastry
68,Pastry
69,Pastry
70,Pastry
71,Pastry
72,Pastry
73,Pastry
74,Pastry
75,Pastry
76,Pastry
77,Pastry
78,Pastry
79,Pastry
80,Pastry
81,Pastry
82,Pastry
83,Pastry
84,Pastry
85,Pastry
86,Pastry
87,Pastry
88,Pastry
89,Pastry
90,Pastry
91,Pastry
92,Pastry
93,Pastry
94,Pastry
95,Pastry
96,Pastry
97,Pastry
98,Pastry
99,Pastry
100,Pastry
101,Pastry
102,Pastry
103,Pastry
104,Pastry
105,Pastry
106,Pastry
107,Pastry
108,Pastry
109,Pastry
110,Pastry
111,Pastry
112,Pastry
113,Pastry
114,Pastry
115,Pastry
116,Pastry
117,Pastry
118,Pastry
119,Pastry
120,Pastry
121,Pastry
122,Pastry
123,Pastry
124,Pastry
125,Pastry
126,Pastry
127,Pastry
128,Pastry
129,Pastry
130,Pastry
131,Pastry
132,Pastry
133,Pastry
134,Pastry
135,Pastry
136,Pastry
137,Pastry
138,Pastry
139,Pastry
140,Pastry
141,Pastry
142,Pastry
143,Pastry
144,Pastry
145,Pastry
146,Pastry
147,Pastry
148,Pastry
149,Pastry
150,Pastry
151,Pastry
152,Pastry
153,Pastry
154,Pastry
155,Pastry
156,Pastry
157,Pastry
158,Z_Scratch
159,Z_Scratch
160,Z_Scratch
161,Z_Scratch
162,Z_Scratch
163,Z_Scratch
164,Z_Scratch
165,Z_Scratch
166,Z_Scratch
167,Z_Scratch
168,Z_Scratch
169,Z_Scratch
170,Z_Scratch
171,Z_Scratch
172,Z_Scratch
173,Z_Scratch
174,Z_Scratch
175,Z_Scratch
176,Z_Scratch
177,Z_Scratch
178,Z_Scratch
179,Z_Scratch
180,Z_Scratch
181,Z_Scratch
182,Z_Scratch
183,Z_Scratch
184,Z_Scratch
185,Z_Scratch
186,Z_Scratch
187,Z_Scratch
188,Z_Scratch
189,Z_Scratch
190,Z_Scratch
191,Z_Scratch
192,Z_Scratch
193,Z_Scratch
194,Z_Scratch
195,Z_Scratch
196,Z_Scratch
197,Z_Scratch
198,Z_Scratch
199,Z_Scratch
200,Z_Scratch
201,Z_Scratch
202,Z_Scratch
203,Z_Scratch
204,Z_Scratch
205,Z_Scratch
206,Z_Scratch
207,Z_Scratch
208,Z_Scratch
209,Z_Scratch
210,Z_Scratch
211,Z_Scratch
212,Z_Scratch
213,Z_Scratch
214,Z_Scratch
215,Z_Scratch
216,Z_Scratch
217,Z_Scratch
218,Z_Scratch
219,Z_Scratch
220,Z_Scratch
221,Z_Scratch
222,Z_Scratch
223,Z_Scratch
224,Z_Scratch
225,Z_Scratch
226,Z_Scratch
227,Z_Scratch
228,Z_Scratch
229,Z_Scratch
230,Z_Scratch
231,Z_Scratch
232,Z_Scratch
233,Z_Scratch
234,Z_Scratch
235,Z_Scratch
236,Z_Scratch
237,Z_Scratch
238,Z_Scratch
239,Z_Scratch
240,Z_Scratch
241,Z_Scratch
242,Z_Scratch
243,Z_Scratch
244,Z_Scratch
245,Z_Scratch
246,Z_Scratch
247,Z_Scratch
248,Z_Scratch
249,Z_Scratch
250,Z_Scratch
251,Z_Scratch
252,Z_Scratch
253,Z_Scratch
254,Z_Scratch
255,Z_Scratch
256,Z_Scratch
257,Z_Scratch
258,Z_Scratch
259,Z_Scratch
260,Z_Scratch
261,Z_Scratch
262,Z_Scratch
263,Z_Scratch
264,Z_Scratch
265,Z_Scratch
266,Z_Scratch
267,Z_Scratch
268,Z_Scratch
269,Z_Scratch
270,Z_Scratch
271,Z_Scratch
272,Z_Scratch
273,Z_Scratch
274,Z_Scratch
275,Z_Scratch
276,Z_Scratch
277,Z_Scratch
278,Z_Scratch
279,Z_Scratch
280,Z_Scratch
281,Z_Scratch
282,Z_Scratch
283,Z_Scratch
284,Z_Scratch
285,Z_Scratch
286,Z_Scratch
287,Z_Scratch
288,Z_Scratch
289,Z_Scratch
290,Z_Scratch
291,Z_Scratch
292,Z_Scratch
293,Z_Scratch
294,Z_Scratch
295,Z_Scratch
296,Z_Scratch
297,Z_Scratch
298,Z_Scratch
299,Z_Scratch
300,Z_Scratch
301,Z_Scratch
302,Z_Scratch
303,Z_Scratch
304,Z_Scratch
305,Z_Scratch
306,Z_Scratch
307,Z_Scratch
308,Z_Scratch
309,Z_Scratch
310,Z_Scratch
311,Z_Scratch
312,Z_Scratch
313,Z_Scratch
314,Z_Scratch
315,Z_Scratch
316,Z_Scratch
317,Z_Scratch
318,Z_Scratch
319,Z_Scratch
320,Z_Scratch
321,Z_Scratch
322,Z_Scratch
323,Z_Scratch
324,Z_Scratch
325,Z_Scratch
326,Z_Scratch
327,Z_Scratch
328,Z_Scratch
329,Z_Scratch
330,Z_Scratch
331,Z_Scratch
332,Z_Scratch
333,Z_Scratch
334,Z_Scratch
335,Z_Scratch
336,Z_Scratch
337,Z_Scratch
338,Z_Scratch
339,Z_Scratch
340,Z_Scratch
341,Z_Scratch
342,Z_Scratch
343,Z_Scratch
344,Z_Scratch
345,Z_Scratch
346,Z_Scratch
347,Z_Scratch
348,K_Scratch
349,K_Scratch
350,K_Scratch
351,K_Scratch
352,K_Scratch
353,K_Scratch
354,K_Scratch
355,K_Scratch
356,K_Scratch
357,K_Scratch
358,K_Scratch
359,K_Scratch
360,K_Scratch
361,K_Scratch
362,K_Scratch
363,K_Scratch
364,K_Scratch
365,K_Scratch
366,K_Scratch
367,K_Scratch
368,K_Scratch
369,K_Scratch
370,K_Scratch
371,K_Scratch
372,K_Scratch
373,K_Scratch
374,K_Scratch
375,K_Scratch
376,K_Scratch
377,K_Scratch
378,K_Scratch
379,K_Scratch
380,K_Scratch
381,K_Scratch
382,K_Scratch
383,K_Scratch
384,K_Scratch
385,K_Scratch
386,K_Scratch
387,K_Scratch
388,K_Scratch
389,K_Scratch
390,K_Scratch
391,K_Scratch
392,K_Scratch
393,K_Scratch
394,K_Scratch
395,K_Scratch
396,K_Scratch
397,K_Scratch
398,K_Scratch
399,K_Scratch
400,K_Scratch
401,K_Scratch
402,K_Scratch
403,K_Scratch
404,K_Scratch
405,K_Scratch
406,K_Scratch
407,K_Scratch
408,K_Scratch
409,K_Scratch
410,K_Scratch
411,K_Scratch
412,K_Scratch
413,K_Scratch
414,K_Scratch
415,K_Scratch
416,K_Scratch
417,K_Scratch
418,K_Scratch
419,K_Scratch
420,K_Scratch
421,K_Scratch
422,K_Scratch
423,K_Scratch
424,K_Scratch
425,K_Scratch
426,K_Scratch
427,K_Scratch
428,K_Scratch
429,K_Scratch
430,K_Scratch
431,K_Scratch
432,K_Scratch
433,K_Scratch
434,K_Scratch
435,K_Scratch
436,K_Scratch
437,K_Scratch
438,K_Scratch
439,K_Scratch
440,K_Scratch
441,K_Scratch
442,K_Scratch
443,K_Scratch
444,K_Scratch
445,K_Scratch
446,K_Scratch
447,K_Scratch
448,K_Scratch
449,K_Scratch
450,K_Scratch
451,K_Scratch
452,K_Scratch
453,K_Scratch
454,K_Scratch
455,K_Scratch
456,K_Scratch
457,K_Scratch
458,K_Scratch
459,K_Scratch
460,K_Scratch
461,K_Scratch
462,K_Scratch
463,K_Scratch
464,K_Scratch
465,K_Scratch
466,K_Scratch
467,K_Scratch
468,K_Scratch
469,K_Scratch
470,K_Scratch
471,K_Scratch
472,K_Scratch
473,K_Scratch
474,K_Scratch
475,K_Scratch
476,K_Scratch
477,K_Scratch
478,K_Scratch
479,K_Scratch
480,K_Scratch
481,K_Scratch
482,K_Scratch
483,K_Scratch
484,K_Scratch
485,K_Scratch
486,K_Scratch
487,K_Scratch
488,K_Scratch
489,K_Scratch
490,K_Scratch
491,K_Scratch
492,K_Scratch
493,K_Scratch
494,K_Scratch
495,K_Scratch
496,K_Scratch
497,K_Scratch
498,K_Scratch
499,K_Scratch
500,K_Scratch
501,K_Scratch
502,K_Scratch
503,K_Scratch
504,K_Scratch
505,K_Scratch
506,K_Scratch
507,K_Scratch
508,K_Scratch
509,K_Scratch
510,K_Scratch
511,K_Scratch
512,K_Scratch
513,K_Scratch
514,K_Scratch
515,K_Scratch
516,K_Scratch
517,K_Scratch
518,K_Scratch
519,K_Scratch
520,K_Scratch
521,K_Scratch
522,K_Scratch
523,K_Scratch
524,K_Scratch
525,K_Scratch
526,K_Scratch
527,K_Scratch
528,K_Scratch
529,K_Scratch
530,K_Scratch
531,K_Scratch
532,K_Scratch
533,K_Scratch
534,K_Scratch
535,K_Scratch
536,K_Scratch
537,K_Scratch
538,K_Scratch
539,K_Scratch
540,K_Scratch
541,K_Scratch
542,K_Scratch
543,K_Scratch
544,K_Scratch
545,K_Scratch
546,K_Scratch
547,K_Scratch
548,K_Scratch
549,K_Scratch
550,K_Scratch
551,K_Scratch
552,K_Scratch
553,K_Scratch
554,K_Scratch
555,K_Scratch
556,K_Scratch
557,K_Scratch
558,K_Scratch
559,K_Scratch
560,K_Scratch
561,K_Scratch
562,K_Scratch
563,K_Scratch
564,K_Scratch
565,K_Scratch
566,K_Scratch
567,K_Scratch
568,K_Scratch
569,K_Scratch
570,K_Scratch
571,K_Scratch
572,K_Scratch
573,K_Scratch
574,K_Scratch
575,K_Scratch
576,K_Scratch
577,K_Scratch
578,K_Scratch
579,K_Scratch
580,K_Scratch
581,K_Scratch
582,K_Scratch
583,K_Scratch
584,K_Scratch
585,K_Scratch
586,K_Scratch
587,K_Scratch
588,K_Scratch
589,K_Scratch
590,K_Scratch
591,K_Scratch
592,K_Scratch
593,K_Scratch
594,K_Scratch
595,K_Scratch
596,K_Scratch
597,K_Scratch
598,K_Scratch
599,K_Scratch
600,K_Scratch
601,K_Scratch
602,K_Scratch
603,K_Scratch
604,K_Scratch
605,K_Scratch
606,K_Scratch
607,K_Scratch
608,K_Scratch
609,K_Scratch
610,K_Scratch
611,K_Scratch
612,K_Scratch
613,K_Scratch
614,K_Scratch
615,K_Scratch
616,K_Scratch
617,K_Scratch
618,K_Scratch
619,K_Scratch
620,K_Scratch
621,K_Scratch
622,K_Scratch
623,K_Scratch
624,K_Scratch
625,K_Scratch
626,K_Scratch
627,K_Scratch
628,K_Scratch
629,K_Scratch
630,K_Scratch
631,K_Scratch
632,K_Scratch
633,K_Scratch
634,K_Scratch
635,K_Scratch
636,K_Scratch
637,K_Scratch
638,K_Scratch
639,K_Scratch
640,K_Scratch
641,K_Scratch
642,K_Scratch
643,K_Scratch
644,K_Scratch
645,K_Scratch
646,K_Scratch
647,K_Scratch
648,K_Scratch
649,K_Scratch
650,K_Scratch
651,K_Scratch
652,K_Scratch
653,K_Scratch
654,K_Scratch
655,K_Scratch
656,K_Scratch
657,K_Scratch
658,K_Scratch
659,K_Scratch
660,K_Scratch
661,K_Scratch
662,K_Scratch
663,K_Scratch
664,K_Scratch
665,K_Scratch
666,K_Scratch
667,K_Scratch
668,K_Scratch
669,K_Scratch
670,K_Scratch
671,K_Scratch
672,K_Scratch
673,K_Scratch
674,K_Scratch
675,K_Scratch
676,K_Scratch
677,K_Scratch
678,K_Scratch
679,K_Scratch
680,K_Scratch
681,K_Scratch
682,K_Scratch
683,K_Scratch
684,K_Scratch
685,K_Scratch
686,K_Scratch
687,K_Scratch
688,K_Scratch
689,K_Scratch
690,K_Scratch
691,K_Scratch
692,K_Scratch
693,K_Scratch
694,K_Scratch
695,K_Scratch
696,K_Scratch
697,K_Scratch
698,K_Scratch
699,K_Scratch
700,K_Scratch
701,K_Scratch
702,K_Scratch
703,K_Scratch
704,K_Scratch
705,K_Scratch
706,K_Scratch
707,K_Scratch
708,K_Scratch
709,K_Scratch
710,K_Scratch
711,K_Scratch
712,K_Scratch
713,K_Scratch
714,K_Scratch
715,K_Scratch
716,K_Scratch
717,K_Scratch
718,K_Scratch
719,K_Scratch
720,K_Scratch
721,K_Scratch
722,K_Scratch
723,K_Scratch
724,K_Scratch
725,K_Scratch
726,K_Scratch
727,K_Scratch
728,K_Scratch
729,K_Scratch
730,K_Scratch
731,K_Scratch
732,K_Scratch
733,K_Scratch
734,K_Scratch
735,K_Scratch
736,K_Scratch
737,K_Scratch
738,K_Scratch
739,Stains
740,Stains
741,Stains
742,Stains
743,Stains
744,Stains
745,Stains
746,Stains
747,Stains
748,Stains
749,Stains
750,Stains
751,Stains
752,Stains
753,Stains
754,Stains
755,Stains
756,Stains
757,Stains
758,Stains
759,Stains
760,Stains
761,Stains
762,Stains
763,Stains
764,Stains
765,Stains
766,Stains
767,Stains
768,Stains
769,Stains
770,Stains
771,Stains
772,Stains
773,Stains
774,Stains
775,Stains
776,Stains
777,Stains
778,Stains
779,Stains
780,Stains
781,Stains
782,Stains
783,Stains
784,Stains
785,Stains
786,Stains
787,Stains
788,Stains
789,Stains
790,Stains
791,Stains
792,Stains
793,Stains
794,Stains
795,Stains
796,Stains
797,Stains
798,Stains
799,Stains
800,Stains
801,Stains
802,Stains
803,Stains
804,Stains
805,Stains
806,Stains
807,Stains
808,Stains
809,Stains
810,Stains
811,Dirtiness
812,Dirtiness
813,Dirtiness
814,Dirtiness
815,Dirtiness
816,Dirtiness
817,Dirtiness
818,Dirtiness
819,Dirtiness
820,Dirtiness
821,Dirtiness
822,Dirtiness
823,Dirtiness
824,Dirtiness
825,Dirtiness
826,Dirtiness
827,Dirtiness
828,Dirtiness
829,Dirtiness
830,Dirtiness
831,Dirtiness
832,Dirtiness
833,Dirtiness
834,Dirtiness
835,Dirtiness
836,Dirtiness
837,Dirtiness
838,Dirtiness
839,Dirtiness
840,Dirtiness
841,Dirtiness
842,Dirtiness
843,Dirtiness
844,Dirtiness
845,Dirtiness
846,Dirtiness
847,Dirtiness
848,Dirtiness
849,Dirtiness
850,Dirtiness
851,Dirtiness
852,Dirtiness
853,Dirtiness
854,Dirtiness
855,Dirtiness
856,Dirtiness
857,Dirtiness
858,Dirtiness
859,Dirtiness
860,Dirtiness
861,Dirtiness
862,Dirtiness
863,Dirtiness
864,Dirtiness
865,Dirtiness
866,Bumps
867,Bumps
868,Bumps
869,Bumps
870,Bumps
871,Bumps
872,Bumps
873,Bumps
874,Bumps
875,Bumps
876,Bumps
877,Bumps
878,Bumps
879,Bumps
880,Bumps
881,Bumps
882,Bumps
883,Bumps
884,Bumps
885,Bumps
886,Bumps
887,Bumps
888,Bumps
889,Bumps
890,Bumps
891,Bumps
892,Bumps
893,Bumps
894,Bumps
895,Bumps
896,Bumps
897,Bumps
898,Bumps
899,Bumps
900,Bumps
901,Bumps
902,Bumps
903,Bumps
904,Bumps
905,Bumps
906,Bumps
907,Bumps
908,Bumps
909,Bumps
910,Bumps
911,Bumps
912,Bumps
913,Bumps
914,Bumps
915,Bumps
916,Bumps
917,Bumps
918,Bumps
919,Bumps
920,Bumps
921,Bumps
922,Bumps
923,Bumps
924,Bumps
925,Bumps
926,Bumps
927,Bumps
928,Bumps
929,Bumps
930,Bumps
931,Bumps
932,Bumps
933,Bumps
934,Bumps
935,Bumps
936,Bumps
937,Bumps
938,Bumps
939,Bumps
940,Bumps
941,Bumps
942,Bumps
943,Bumps
944,Bumps
945,Bumps
946,Bumps
947,Bumps
948,Bumps
949,Bumps
950,Bumps
951,Bumps
952,Bumps
953,Bumps
954,Bumps
955,Bumps
956,Bumps
957,Bumps
958,Bumps
959,Bumps
960,Bumps
961,Bumps
962,Bumps
963,Bumps
964,Bumps
965,Bumps
966,Bumps
967,Bumps
968,Bumps
969,Bumps
970,Bumps
971,Bumps
972,Bumps
973,Bumps
974,Bumps
975,Bumps
976,Bumps
977,Bumps
978,Bumps
979,Bumps
980,Bumps
981,Bumps
982,Bumps
983,Bumps
984,Bumps
985,Bumps
986,Bumps
987,Bumps
988,Bumps
989,Bumps
990,Bumps
991,Bumps
992,Bumps
993,Bumps
994,Bumps
995,Bumps
996,Bumps
997,Bumps
998,Bumps
999,Bumps
1000,Bumps
1001,Bumps
1002,Bumps
1003,Bumps
1004,Bumps
1005,Bumps
1006,Bumps
1007,Bumps
1008,Bumps
1009,Bumps
1010,Bumps
1011,Bumps
1012,Bumps
1013,Bumps
1014,Bumps
1015,Bumps
1016,Bumps
1017,Bumps
1018,Bumps
1019,Bumps
1020,Bumps
1021,Bumps
1022,Bumps
1023,Bumps
1024,Bumps
1025,Bumps
1026,Bumps
1027,Bumps
1028,Bumps
1029,Bumps
1030,Bumps
1031,Bumps
1032,Bumps
1033,Bumps
1034,Bumps
1035,Bumps
1036,Bumps
1037,Bumps
1038,Bumps
1039,Bumps
1040,Bumps
1041,Bumps
1042,Bumps
1043,Bumps
1044,Bumps
1045,Bumps
1046,Bumps
1047,Bumps
1048,Bumps
1049,Bumps
1050,Bumps
1051,Bumps
1052,Bumps
1053,Bumps
1054,Bumps
1055,Bumps
1056,Bumps
1057,Bumps
1058,Bumps
1059,Bumps
1060,Bumps
1061,Bumps
1062,Bumps
1063,Bumps
1064,Bumps
1065,Bumps
1066,Bumps
1067,Bumps
1068,Bumps
1069,Bumps
1070,Bumps
1071,Bumps
1072,Bumps
1073,Bumps
1074,Bumps
1075,Bumps
1076,Bumps
1077,Bumps
1078,Bumps
1079,Bumps
1080,Bumps
1081,Bumps
1082,Bumps
1083,Bumps
1084,Bumps
1085,Bumps
1086,Bumps
1087,Bumps
1088,Bumps
1089,Bumps
1090,Bumps
1091,Bumps
1092,Bumps
1093,Bumps
1094,Bumps
1095,Bumps
1096,Bumps
1097,Bumps
1098,Bumps
