,Prevention
0,Health_education
1,Health_education
2,Health_education
3,Health_education
4,Health_education
5,Health_education
6,Health_education
7,Health_education
8,Health_education
9,Health_education
10,Health_education
11,Health_education
12,Health_education
13,Health_education
14,Health_education
15,Health_education
16,Health_education
17,Health_education
18,Health_education
19,Health_education
20,Health_education
21,Health_education
22,Health_education
23,Health_education
24,Health_education
25,Health_education
26,Health_education
27,Health_education
28,Health_education
29,Health_education
30,Health_education
31,Health_education
32,Health_education
33,Health_education
34,Health_education
35,Health_education
36,Health_education
37,Health_education
38,Health_education
39,Health_education
40,Health_education
41,Health_education
42,Health_education
43,Health_education
44,Health_education
45,Health_education
46,Health_education
47,Health_education
48,Health_education
49,Health_education
50,Health_education
51,Health_education
52,Health_education
53,Health_education
54,Health_education
55,Health_education
56,Health_education
57,Health_education
58,Health_education
59,Health_education
60,Health_education
61,Health_education
62,Health_education
63,Health_education
64,Health_education
65,Health_education
66,Health_education
67,Health_education
68,Health_education
69,Health_education
70,Health_education
71,Health_education
72,Health_education
73,Health_education
74,Health_education
75,Health_education
76,Health_education
77,Health_education
78,Health_education
79,Health_education
80,Health_education
81,Health_education
82,Health_education
83,Health_education
84,Health_education
85,Health_education
86,Health_education
87,Health_education
88,Health_education
89,Health_education
90,Health_education
91,Health_education
92,Health_education
93,Health_education
94,Health_education
95,Health_education
96,Health_education
97,Health_education
98,Health_education
99,Health_education
100,Health_education
101,Health_education
102,Health_education
103,Health_education
104,Health_education
105,Health_education
106,Health_education
107,Health_education
108,Health_education
109,Health_education
110,Health_education
111,Health_education
112,Health_education
113,Health_education
114,Health_education
115,Health_education
116,Health_education
117,Health_education
118,Health_education
119,Health_education
120,Health_education
121,Health_education
122,Health_education
123,Health_education
124,All_methods
125,All_methods
126,All_methods
127,All_methods
128,All_methods
129,All_methods
130,All_methods
131,All_methods
132,All_methods
133,All_methods
134,All_methods
135,All_methods
136,All_methods
137,All_methods
138,All_methods
139,All_methods
140,All_methods
141,All_methods
142,All_methods
143,All_methods
144,All_methods
145,All_methods
146,All_methods
147,All_methods
148,All_methods
149,All_methods
150,All_methods
151,All_methods
152,All_methods
153,All_methods
154,All_methods
155,All_methods
156,All_methods
157,All_methods
158,All_methods
159,All_methods
160,All_methods
161,All_methods
162,All_methods
163,All_methods
164,All_methods
165,All_methods
166,All_methods
167,All_methods
168,All_methods
169,All_methods
170,All_methods
171,All_methods
172,All_methods
173,All_methods
174,All_methods
175,All_methods
176,All_methods
177,All_methods
178,All_methods
179,All_methods
180,All_methods
181,All_methods
182,All_methods
183,All_methods
184,All_methods
185,All_methods
186,All_methods
187,All_methods
188,All_methods
189,All_methods
190,All_methods
191,All_methods
192,All_methods
193,All_methods
194,All_methods
195,All_methods
196,All_methods
197,All_methods
198,All_methods
199,All_methods
200,All_methods
201,All_methods
202,All_methods
203,All_methods
204,All_methods
205,All_methods
206,All_methods
207,All_methods
208,All_methods
209,All_methods
210,All_methods
211,All_methods
212,All_methods
213,All_methods
214,All_methods
215,All_methods
216,All_methods
217,All_methods
218,All_methods
219,All_methods
220,All_methods
221,All_methods
222,All_methods
223,All_methods
224,All_methods
225,All_methods
226,All_methods
227,All_methods
228,All_methods
229,All_methods
230,All_methods
231,All_methods
232,All_methods
233,All_methods
234,All_methods
235,All_methods
236,All_methods
237,All_methods
238,All_methods
239,All_methods
240,All_methods
241,All_methods
242,All_methods
243,All_methods
244,All_methods
245,All_methods
246,All_methods
247,All_methods
248,All_methods
249,All_methods
250,All_methods
251,None
252,None
253,None
254,None
255,None
256,None
257,None
258,None
259,None
260,None
261,None
262,None
263,None
264,None
265,None
266,None
267,None
268,None
269,None
270,None
271,None
272,None
273,None
274,None
275,None
276,None
277,None
278,None
279,None
280,None
281,None
282,None
283,None
284,None
285,None
286,None
287,None
288,None
289,None
290,None
291,None
292,None
293,None
294,None
295,None
296,None
297,None
298,None
299,None
300,None
301,None
302,None
303,None
304,None
305,None
306,None
307,None
308,None
309,None
310,None
311,None
312,None
313,None
314,None
315,None
316,None
317,None
318,None
319,None
320,None
321,None
322,None
323,None
324,None
325,None
326,None
327,None
328,None
329,None
330,None
331,None
332,None
333,None
334,None
335,None
336,None
337,None
338,None
339,None
340,None
341,None
342,None
343,None
344,None
345,None
346,None
347,None
348,None
349,None
350,None
351,None
352,None
353,None
354,None
355,None
356,None
357,None
358,None
359,None
360,None
361,None
362,None
363,None
364,None
365,None
366,None
367,None
368,None
369,None
370,None
371,None
372,None
373,None
374,None
375,None
376,None
377,None
378,None
379,None
380,None
381,None
382,None
383,None
384,None
385,None
386,None
387,Diet_enrichment
388,Diet_enrichment
389,Diet_enrichment
390,Diet_enrichment
391,Diet_enrichment
392,Diet_enrichment
393,Diet_enrichment
394,Diet_enrichment
395,Diet_enrichment
396,Diet_enrichment
397,Diet_enrichment
398,Diet_enrichment
399,Diet_enrichment
400,Diet_enrichment
401,Diet_enrichment
402,Diet_enrichment
403,Diet_enrichment
404,Diet_enrichment
405,Diet_enrichment
406,Diet_enrichment
407,Diet_enrichment
408,Diet_enrichment
409,Diet_enrichment
410,Diet_enrichment
411,Diet_enrichment
412,Diet_enrichment
413,Diet_enrichment
414,Diet_enrichment
415,Diet_enrichment
416,Diet_enrichment
417,Diet_enrichment
418,Diet_enrichment
419,Diet_enrichment
420,Diet_enrichment
421,Diet_enrichment
422,Diet_enrichment
423,Diet_enrichment
424,Diet_enrichment
425,Diet_enrichment
426,Diet_enrichment
427,Diet_enrichment
428,Diet_enrichment
429,Diet_enrichment
430,Diet_enrichment
431,Diet_enrichment
432,Diet_enrichment
433,Diet_enrichment
434,Diet_enrichment
435,Diet_enrichment
436,Diet_enrichment
437,Diet_enrichment
438,Diet_enrichment
439,Diet_enrichment
440,Diet_enrichment
441,Diet_enrichment
442,Diet_enrichment
443,Diet_enrichment
444,Diet_enrichment
445,Diet_enrichment
446,Diet_enrichment
447,Diet_enrichment
448,Diet_enrichment
449,Diet_enrichment
450,Diet_enrichment
451,Diet_enrichment
452,Diet_enrichment
453,Diet_enrichment
454,Diet_enrichment
455,Diet_enrichment
456,Diet_enrichment
457,Diet_enrichment
458,Diet_enrichment
459,Diet_enrichment
460,Diet_enrichment
461,Diet_enrichment
462,Diet_enrichment
463,Diet_enrichment
464,Diet_enrichment
465,Diet_enrichment
466,Diet_enrichment
467,Diet_enrichment
468,Diet_enrichment
469,Diet_enrichment
470,Diet_enrichment
471,Diet_enrichment
472,Diet_enrichment
473,Diet_enrichment
474,Diet_enrichment
475,Diet_enrichment
476,Diet_enrichment
477,Diet_enrichment
478,Diet_enrichment
479,Diet_enrichment
480,Diet_enrichment
481,Diet_enrichment
482,Diet_enrichment
483,Diet_enrichment
484,Diet_enrichment
485,Diet_enrichment
486,Diet_enrichment
487,Diet_enrichment
488,Diet_enrichment
489,Diet_enrichment
490,Diet_enrichment
491,Diet_enrichment
492,Diet_enrichment
493,Diet_enrichment
494,Diet_enrichment
495,Diet_enrichment
496,Diet_enrichment
497,Diet_enrichment
498,Diet_enrichment
499,Diet_enrichment
500,Diet_enrichment
501,Diet_enrichment
502,Diet_enrichment
503,Diet_enrichment
504,Diet_enrichment
505,Diet_enrichment
506,Diet_enrichment
507,Diet_enrichment
508,Diet_enrichment
509,Diet_enrichment
510,Diet_enrichment
511,Diet_enrichment
512,Diet_enrichment
513,Diet_enrichment
514,Diet_enrichment
515,Diet_enrichment
516,Diet_enrichment
517,Diet_enrichment
518,Diet_enrichment
519,Mouthwash
520,Mouthwash
521,Mouthwash
522,Mouthwash
523,Mouthwash
524,Mouthwash
525,Mouthwash
526,Mouthwash
527,Mouthwash
528,Mouthwash
529,Mouthwash
530,Mouthwash
531,Mouthwash
532,Mouthwash
533,Mouthwash
534,Mouthwash
535,Mouthwash
536,Mouthwash
