LOC_BLANK,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DECISION_DENSITY,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,c
1.0,7.0,4.0,0.0,0.0,0.0,4.0,0.33,0.0,0.0,3.0,0.75,20.0,3.0,0.0,12.0,2.0,19.48,11.92,2766.96,0.08,50.0,0.08,153.72,232.19,0.75,0.0,0.0,18.0,0.29,22.0,28.0,12.0,13.0,14.0,0.0,12.0,FALSE
27.0,5.0,1.0,5.0,25.0,8.0,3.0,0.09,4.0,2.0,3.0,1.0,31.0,1.0,0.0,30.0,0.0,51.95,30.8,49286.33,0.53,323.0,0.03,2738.13,1600.21,0.33,2.0,4.0,30.0,0.03,112.0,211.0,20.0,11.0,89.0,50.0,35.0,TRUE
3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.33,0.0,0.0,1.0,1.0,2.0,1.0,0.0,3.0,0.0,8.15,3.5,99.85,0.01,9.0,0.29,5.55,28.53,1.0,0.0,0.0,3.0,0.13,2.0,7.0,2.0,7.0,8.0,0.0,3.0,FALSE
4.0,1.0,2.0,0.0,0.0,0.0,1.0,0.25,0.0,0.0,1.0,1.0,3.0,1.0,0.0,4.0,1.0,16.5,2.0,66.0,0.01,11.0,0.5,3.67,33.0,1.0,0.0,0.0,4.0,0.1,4.0,7.0,4.0,4.0,10.0,0.0,4.0,FALSE
7.0,1.0,1.0,8.0,6.0,0.0,1.0,0.07,0.0,0.0,1.0,1.0,2.0,1.0,0.0,6.0,0.0,21.37,13.3,3780.76,0.09,62.0,0.08,210.04,284.27,1.0,0.0,0.0,3.0,0.03,19.0,43.0,10.0,14.0,29.0,70.0,14.0,TRUE
4.0,1.0,2.0,1.0,1.0,0.0,1.0,0.17,0.0,0.0,1.0,1.0,3.0,1.0,0.0,5.0,1.0,14.51,4.2,255.97,0.02,17.0,0.24,14.22,60.94,1.0,0.0,0.0,4.0,0.08,6.0,11.0,5.0,7.0,13.0,28.57,6.0,FALSE
8.0,3.0,0.0,1.0,7.0,4.0,2.0,0.13,2.0,2.0,1.0,0.5,7.0,1.0,0.0,15.0,1.0,20.68,12.5,3231.69,0.09,62.0,0.08,179.54,258.54,0.5,1.0,2.0,7.0,0.06,25.0,37.0,9.0,9.0,33.0,34.78,16.0,TRUE
5.0,5.0,1.0,1.0,0.0,8.0,3.0,0.21,4.0,2.0,1.0,0.33,10.0,1.0,0.0,13.0,1.0,19.01,14.67,4089.46,0.09,58.0,0.07,227.19,278.83,0.33,2.0,4.0,9.0,0.14,22.0,36.0,12.0,16.0,21.0,7.14,14.0,TRUE
3.0,5.0,1.0,2.0,1.0,6.0,3.0,0.33,2.0,3.0,2.0,0.67,8.0,3.0,1.0,7.0,0.0,22.4,7.33,1204.38,0.05,38.0,0.14,66.91,164.23,1.0,2.0,3.0,7.0,0.2,12.0,26.0,9.0,11.0,15.0,30.0,9.0,TRUE
0.0,46.0,19.0,0.0,0.0,82.0,29.0,1.0,34.0,2.0,26.0,0.9,96.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,24.0,41.0,69.0,0.16,0.0,0.0,0.0,0.0,176.0,0.0,0.0,FALSE
