loc,v(g),ev(g),iv(G),N,V,L,D,I,E,B,T,lOCode,lOComment,locCodeAndComment,lOBlank,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,defects
22.0,5.0,5.0,4.0,100.0,539.23,0.07,13.94,38.68,7516.89,0.18,417.61,22.0,0.0,0.0,12.0,17.0,25.0,59.0,41.0,9.0,true
8.0,1.0,1.0,1.0,25.0,97.67,0.18,5.71,17.09,558.13,0.03,31.01,8.0,9.0,0.0,5.0,8.0,7.0,15.0,10.0,1.0,false
144.0,36.0,1.0,17.0,1070.0,7270.02,0.01,87.53,83.06,636348.83,2.42,35352.71,102.0,24.0,42.0,62.0,29.0,82.0,575.0,495.0,71.0,false
12.0,3.0,1.0,2.0,75.0,384.7,0.08,12.37,31.09,4760.62,0.13,264.48,11.0,3.0,1.0,4.0,15.0,20.0,42.0,33.0,5.0,false
15.0,1.0,1.0,1.0,70.0,312.16,0.1,10.42,29.97,3251.67,0.1,180.65,15.0,0.0,0.0,1.0,10.0,12.0,45.0,25.0,1.0,false
23.0,4.0,1.0,4.0,101.0,548.05,0.08,11.79,46.5,6459.19,0.18,358.84,23.0,0.0,0.0,12.0,15.0,28.0,57.0,44.0,7.0,true
48.0,3.0,1.0,2.0,248.0,1470.82,0.03,33.59,43.78,49408.04,0.49,2744.89,37.0,27.0,11.0,23.0,23.0,38.0,137.0,111.0,5.0,true
3.0,1.0,1.0,1.0,10.0,33.22,0.33,3.0,11.07,99.66,0.01,5.54,3.0,0.0,0.0,1.0,6.0,4.0,6.0,4.0,1.0,true
58.0,6.0,1.0,3.0,314.0,1961.85,0.05,20.0,98.09,39236.98,0.65,2179.83,58.0,17.0,0.0,18.0,16.0,60.0,164.0,150.0,11.0,true
29.0,5.0,5.0,5.0,164.0,920.81,0.05,20.61,44.67,18980.62,0.31,1054.48,29.0,9.0,0.0,7.0,18.0,31.0,93.0,71.0,9.0,true
4.0,2.0,1.0,1.0,14.0,48.43,0.16,6.13,7.91,296.65,0.02,16.48,4.0,0.0,0.0,0.0,7.0,4.0,7.0,7.0,3.0,false
40.0,7.0,3.0,6.0,167.0,969.83,0.06,17.53,55.34,16997.52,0.32,944.31,40.0,16.0,0.0,20.0,18.0,38.0,93.0,74.0,13.0,false
