,Class
0,2
1,2
2,2
3,2
4,2
5,2
6,2
7,2
8,2
9,2
10,2
11,2
12,2
13,2
14,2
15,2
16,2
17,2
18,2
19,1
20,1
21,1
22,2
23,2
24,2
25,2
26,2
27,2
28,2
29,2
30,2
31,2
32,2
33,2
34,2
35,2
36,2
37,1
38,2
39,2
40,2
41,2
42,2
43,2
44,2
45,2
46,1
47,2
48,1
49,1
50,1
51,1
52,1
53,2
54,2
55,1
56,2
57,2
58,1
59,1
60,1
61,1
62,2
63,1
64,2
65,2
66,1
67,1
68,1
69,1
70,2
71,1
72,2
73,2
74,1
75,2
76,1
77,2
78,2
79,1
80,1
81,1
82,2
83,2
84,1
85,2
86,2
87,2
88,1
89,1
90,1
91,2
92,1
93,1
94,2
95,2
96,1
97,1
98,1
99,2
100,2
101,1
102,1
103,1
104,1
105,2
106,1
107,1
108,2
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,2
118,2
119,2
120,1
121,2
122,2
123,1
124,1
125,1
126,2
127,2
128,1
129,2
130,1
131,2
132,2
133,1
134,2
135,2
136,1
137,1
138,2
139,1
140,1
141,2
142,1
143,1
144,1
145,1
146,2
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,2
157,1
158,1
159,1
160,1
161,2
162,2
163,1
164,2
165,1
166,1
167,2
168,2
169,1
170,1
171,2
172,2
173,1
174,1
175,1
176,1
177,2
178,1
179,1
180,2
181,2
182,2
183,1
184,2
185,1
186,2
187,1
188,1
189,1
190,2
191,1
192,1
193,2
194,2
195,1
196,2
197,2
198,2
199,2
200,1
201,2
202,2
203,2
204,1
205,2
206,1
207,2
208,1
209,1
210,2
211,1
212,2
213,2
214,2
215,2
216,1
217,1
218,2
219,2
220,1
221,1
222,1
223,2
224,1
225,1
226,1
227,1
228,1
229,2
230,2
231,1
232,1
233,2
234,1
235,1
236,2
237,2
238,1
239,2
240,1
241,1
242,1
243,1
244,2
245,1
246,1
247,1
248,1
249,1
250,2
251,1
252,2
253,2
254,2
255,2
256,2
257,2
258,2
259,2
260,2
261,2
262,2
263,2
264,2
265,2
266,1
267,1
268,1
269,1
270,1
271,1
272,2
273,1
274,2
275,1
276,1
277,2
278,1
279,1
280,2
281,1
282,2
283,2
284,1
285,1
286,1
287,1
288,1
289,1
290,1
291,1
292,1
293,1
294,1
295,1
296,1
297,2
298,1
299,1
300,2
301,1
302,2
303,1
304,1
305,1
306,1
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,1
317,2
318,1
319,1
320,1
321,2
322,1
323,2
324,1
325,1
326,1
327,1
328,2
329,2
330,2
331,1
332,1
333,1
334,1
335,2
336,1
337,2
338,1
339,2
340,1
341,1
342,1
343,2
344,1
345,1
346,1
347,1
348,1
349,1
350,1
351,2
352,2
353,2
354,1
355,1
356,1
357,1
358,1
359,1
360,1
361,1
362,1
363,1
364,1
365,2
366,2
367,1
368,2
369,2
370,2
371,1
372,2
373,2
374,1
375,1
376,1
377,1
378,1
379,2
380,1
381,1
382,1
383,1
384,1
385,2
386,1
387,1
388,1
389,2
390,1
391,1
392,2
393,2
394,1
395,1
396,1
397,1
398,1
399,1
400,2
401,1
402,1
403,1
404,1
405,1
406,1
407,1
408,2
409,1
410,1
411,1
412,1
413,1
414,2
415,1
416,1
417,2
418,1
419,1
420,1
421,1
422,1
423,1
424,1
425,1
426,1
427,1
428,1
429,1
430,2
431,1
432,2
433,2
434,1
435,2
436,1
437,1
438,1
439,1
440,1
441,2
442,1
443,1
444,2
445,1
446,2
447,1
448,1
449,2
450,1
451,2
452,1
453,1
454,1
455,1
456,1
457,1
458,1
459,1
460,2
461,2
462,1
463,1
464,1
465,1
466,1
467,1
468,2
469,1
470,1
471,1
472,1
473,1
474,1
475,1
476,1
477,1
478,1
479,2
480,1
481,1
482,1
483,1
484,1
485,1
486,1
487,2
488,1
489,2
490,1
491,1
492,2
493,1
494,1
495,1
496,1
497,1
498,2
499,2
500,1
501,2
502,1
503,2
504,1
505,1
506,1
507,1
508,1
509,2
510,1
511,1
512,2
513,1
514,2
515,1
516,2
517,2
518,1
519,1
520,1
521,2
522,1
523,1
524,1
525,1
526,1
527,1
528,1
529,1
530,1
531,1
532,1
533,2
534,1
535,2
536,2
537,1
538,1
539,1
540,1
541,1
542,1
543,1
544,1
545,1
546,1
547,1
548,1
549,1
550,1
551,1
552,1
553,1
554,1
555,1
556,1
557,1
558,1
559,1
560,1
561,1
562,2
563,2
564,2
565,2
566,2
567,2
568,1
